"datetime","casos","tempmed","umidmed"
2018-07-29,92,21.58928571,80.47146586
2018-08-05,120,20.82023771,80.87858357
2018-08-12,75,19.37132014,82.53715
2018-08-19,67,20.41298714,86.078374
2018-08-26,68,19.71428571,85.99547571
2018-09-02,51,19.88441543,83.05284314
2018-09-09,54,20.00000057,80.11769
2018-09-16,63,22.19480486,88.223822
2018-09-23,41,23.35844143,86.81771129
2018-09-30,59,23.69534657,83.58708371
2018-10-07,43,24.375,85.15724371
2018-10-14,72,23.51948057,83.84794243
2018-10-21,70,21.45454543,83.98000657
2018-10-28,66,22.56493514,82.13311486
2018-11-04,71,21.91904771,88.53085371
2018-11-11,69,24.51428571,83.71677343
2018-11-18,65,22.85714286,83.52003
2018-11-25,106,24.27301571,80.75948086
2018-12-02,150,23.13214286,85.171617
2018-12-09,138,27.27380971,66.35261214
2018-12-16,124,29.315476,70.64468214
2018-12-23,147,25.23300857,83.47795
2018-12-30,179,25.98571429,83.64156857
2019-01-06,186,26.55714286,80.824093
2019-01-13,201,28.78928571,70.47166771
2019-01-20,205,29.22023829,72.18411943
2019-01-27,159,30.55357171,64.43938657
2019-02-03,167,25.48412743,81.07607
2019-02-10,182,25.26666643,83.32502571
2019-02-17,195,25.403896,90.30904271
2019-02-24,157,25.75844171,87.15311857
2019-03-03,274,25.82467514,88.31724357
2019-03-10,414,26.21298714,86.90560786
2019-03-17,643,24.725974,91.903172
2019-03-24,801,23.64805171,87.23651571
2019-03-31,1112,24.12770571,84.442725
2019-04-07,1207,24.40714286,91.61603343
2019-04-14,1280,24.26217543,86.39739143
2019-04-21,1432,24.59192957,86.62498857
2019-04-28,1643,24.13766229,89.34496786
2019-05-05,1864,23.46753229,88.18190486
2019-05-12,1624,23.33376629,91.12516229
2019-05-19,1573,22.11688343,91.86536429
2019-05-26,1233,22.11688314,86.93222
2019-06-02,980,19.766234,91.75128286
2019-06-09,769,21.31969714,89.057758
2019-06-16,551,20.922078,88.88292014
2019-06-23,497,21.22727257,88.82827214
2019-06-30,489,21.41428543,86.29548714
2019-07-07,285,16.31168871,84.06273357
2019-07-14,238,17.90909086,81.03791886
2019-07-21,168,18.64935086,85.92137657
2019-07-28,169,20.41558457,84.15222286
2019-08-04,140,18.29870157,88.50055786
2019-08-11,140,18.82987014,82.45433714
2019-08-18,97,19.05952371,82.03844071
2019-08-25,71,18.792208,80.93085343
2019-09-01,64,20.32857171,86.74796829
2019-09-08,66,21.36363657,83.71060271
2019-09-15,83,22.64935057,83.71908214
2019-09-22,99,19.64935057,85.56376429
2019-09-29,73,20.077922,81.87540571
2019-10-06,67,22.15584457,86.33656371
2019-10-13,65,23.53246771,80.67792857
2019-10-20,58,21.896104,80.738407
2019-10-27,40,24.78831171,79.97849571
2019-11-03,65,24.12857143,81.4293
2019-11-10,56,22.57142857,86.81595829
2019-11-17,50,22.21428571,83.99422657
2019-11-24,74,21.44285714,78.68345329
2019-12-01,49,22.54444429,84.74466971
2019-12-08,75,23.038095,85.82549
2019-12-15,58,25.07142857,80.95932629
2019-12-22,43,24.41111129,84.23836143
2019-12-29,69,26.1375,75.43662983
2020-01-05,100,27.76190486,76.09594714
2020-01-12,109,26.58333343,74.82962929
2020-01-19,85,24.32738086,77.66119943
